LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
QC 183 .B83 1986,5162,"Exploratorium (San Francisco, Calif.)",,5600,Monograph,Learning Commons,Gen-nonc,,"Exploratorium (San Francisco, Calif.)",,,28 p. : ill. ; 19 x 19 cm.,Rev.,text,Learning Commons,,,,QC 183 .B83 1986,,"San Francisco, CA",c1986,1986,Exploratorium,,Non-Circulating,Bubbles,Bubbles--,Exploratorium magazine.
QC 183 .B83 1986,5018,"Exploratorium (San Francisco, Calif.)",,5018,Monograph,Learning Commons,General,,"Exploratorium (San Francisco, Calif.)",,,28 p. : ill. ; 19 x 19 cm.,Rev.,text,Learning Commons,,,,QC 183 .B83 1986,,"San Francisco, CA",c1986,1986,Exploratorium,,Available,Bubbles,Bubbles--,Exploratorium magazine.
QC 183 .Z78 1979,11489,"Zubrowski, Bernie","Zubrowski, Bernie;Drescher, Joan E",11489,Monograph,Learning Commons,Act-nonc,,,,,64 p. : ill. ; 20 x 21 cm.,1st ed.,text,Learning Commons,316988804,9.78E+12,316988804,QC 183 .Z78 1979,78027497,Boston,c1979,1979,"Little, Brown",,Available,Bubbles,Bubbles,
QC 183 .Z78 1979,2344,"Zubrowski, Bernie","Zubrowski, Bernie;Drescher, Joan E",1627,Monograph,Learning Commons,Activity,,,,,64 p. : ill. ; 20 x 21 cm.,1st ed.,text,,316988804,9.78E+12,316988804,QC 183 .Z78 1979,78027497,Boston,c1979,1979,"Little, Brown",,Available,Bubbles,Bubbles,
QK 52.55 .B835 1993,642,"Hoover, Evalyn","Hoover, Evalyn;Larimer, Howard;Mercier, Sheryl;Walsh, Michael;Youngs, Dave;Tillman, Beverly;Winkleman, Gretchen;Hillen, Judith;Wagner, Ben",642,Monograph,Learning Commons,Act-nonc,,,,,[117] p. : ill. ; 28 cm.,,text,Learning Commons,1881431401 (pbk.),9.78E+12,1881431401,QK 52.55 .B835 1993,,"Fresno, Calif.",c1993,1993,AIMS Education Foundation,,Non-Circulating,Science - Experiments - Juvenile literature;Mathematics - Study and teaching (Elementary);Botany - Experiments - Juvenile literature;Plants - Experiments - Juvenile literature;Interdisciplinary approach in education,"The budding botanist : investigations with plants, aims activities for grades 3 - 6",
QK 52.55 .B835 1993,641,"Hoover, Evalyn","Hoover, Evalyn;Larimer, Howard;Mercier, Sheryl;Walsh, Michael;Youngs, Dave;Tillman, Beverly;Winkleman, Gretchen;Hillen, Judith;Wagner, Ben",641,Monograph,Learning Commons,Activity,,,,,[117] p. : ill. ; 28 cm.,,text,Learning Commons,1881431401 (pbk.),9.78E+12,1881431401,QK 52.55 .B835 1993,,"Fresno, Calif.",c1993,1993,AIMS Education Foundation,,Available,Science - Experiments - Juvenile literature;Mathematics - Study and teaching (Elementary);Botany - Experiments - Juvenile literature;Plants - Experiments - Juvenile literature;Interdisciplinary approach in education,"The budding botanist : investigations with plants, aims activities for grades 3 - 6",
QA 462 .H35 1993,2972,"Healy, Christopher C","Healy, Christopher C",7350,Monograph,Learning Commons,General,,,,,"xi, 201, 38 p. : ill. ; 23 cm.",,text,,1559530669,9.78E+12,1559530669,QA 462 .H35 1993,93222847,"Berkeley, Calif.",c1993,1993,Key Curriculum Press,,Available,Geometry - Study and teaching (Secondary);Learning by discovery,Build-a-book geometry : a story of student discovery,
QA 462 .G66 1997,5873,"Gonsalves, Philip","Gonsalves, Philip;Kopp, Jaine",7686,Monograph,Learning Commons,Act-nonc,,GEMS (Project),,,"viii, 216 p. : ill. ; 28 cm.",,text,TI Classroom,912511885,9.78E+12,912511885,,,"Berkeley, CA","c1995, 1997",1995,"Great Explorations in Math and Science (GEMS), Lawrence Hall of Science, University of California at Berkeley",,Non-Circulating,Geometry - Study and teaching (Elementary.);Creative activities and seat work,Build it! festival : teacher's guide : grades K-6 ...,
QA 462 .G66 1997,7692,"Gonsalves, Philip","Gonsalves, Philip;Kopp, Jaine",7692,Monograph,Learning Commons,Activity,,GEMS (Project),,,"viii, 216 p. : ill. ; 28 cm.",,text,Learning Commons,912511885,9.78E+12,912511885,,,"Berkeley, CA","c1995, 1997",1995,"Great Explorations in Math and Science (GEMS), Lawrence Hall of Science, University of California at Berkeley",,Available,Geometry - Study and teaching (Elementary.);Creative activities and seat work,Build it! festival : teacher's guide : grades K-6 ...,
QA 491 .H55 1994,10735,"Hilton, Peter John","Hilton, Peter John;Pedersen, Jean",10735,Monograph,Learning Commons,Act-nonc,,,,,175 p. : ill. ; 28 cm.,,text,Learning Commons,020149096X,9.78E+12,020149096X,QA 491 .H55 1994,94123332,"Menlo Park, Calif.",c1994,1994,Addison-Wesley;Innovative Learning Publications,,Available,Origami;Paper work;Polyhedra - Models,Build your own polyhedra,
