LC,Accession Number,"Author, Primary","Authors, Multiple",Barcode,Bibliographic Format,Branch,Collection/Status,Copy,Corporate Author,Cost,Date Touched,Description,Edition,General Material Designation,Home Branch,ISBN,ISBN-Normal,ISBN-Normal 10,LC Classification 1,LCCN,Place of Publication,Publication Dates,Publication Year,Publisher,Series,Status,"Subject Headings, LC",Title,"Titles, Alternate"
QB 802 .B35 1995,250,"Bakich, Michael E","Bakich, Michael E",1812,Monograph,Learning Commons,General,,,,,"xiii, 320 p. : ill., maps ; 25 cm.",,text,,521465206,9.78E+12,521465206,QB 802 .B35 1995,94004678,"Cambridge ; New York, NY, USA",1995,1995,Cambridge University Press,,Available,Constellations - Observers' manuals;Astronomy - Observers' manuals,The Cambridge guide to the constellations,
R 131 .C232 1996,6968,"Porter, Roy","Porter, Roy",10212,Monograph,Learning Commons,General,,,,,"400 p. : ill. (some col.), col. maps ; 27 cm.",,text,,521442117,9.78E+12,521442117,R 131 .C232 1996,95038000,Cambridge ; New York,1996,1996,Cambridge University Press,,Available,Medicine - History;History of Medicine,The Cambridge illustrated history of medicine,Medicine
TX 353 .C255 2000,7979,"Kiple, Kenneth F","Kiple, Kenneth F;Ornelas, Kriemhild Coneè",REF004,Monograph,Learning Commons,General,,,,,"2 v. (xlii, 2153 p.) : ill. ; 26 cm.",,text,,052140214X (v.1),9.78E+12,052140214X,TX 353 .C255 2000,57181,"Cambridge, UK ; New York",2000,2000,Cambridge University Press,,Available,Food - History,The Cambridge world history of food,
QP 495 .B56 1992,3812,"Block, J. R","Block, J. R;Yuker, Harold E",13616,Monograph,Learning Commons,General,,,,,251 p. : ill. ; 26 cm.,1st Brunner/Mazel ed.,text,TI Classroom,876306954,9.78E+12,876306954,QP 495 .B56 1992,89011950,New York,1992,1992,Brunner/Mazel Publishers,,Lost,Optical illusions;Visual perception,Can you believe your eyes? : over 250 illusions and other visual oddities,
QA 141.35 .W45 2000,7848,"Wells, Robert E","Wells, Robert E",13037,Monograph,Learning Commons,General,,,,,1 v. (unpaged) : col. ill. ; 19 x 27 cm.,,text,,807510602,9.78E+12,807510602,QA 141.35 .W45 2000,98049759,"Morton Grove, Ill.",2000,2000,Albert Whitman,,Available,Decimal system;Multiplication,Can you count to a googol?,
QL 668 .E227 C36 1987b,5770,"Lewis, Mark","Lewis, Mark;Martin Arnique",8377,Video,Learning Commons,General,,Film Australia Pty Limited;First Run Features Home Video (Firm),,,"1 videocassette (ca. 47 min. : sd., col. ; 1/2 in.",,VHS,,,,,,,New York,1987,1987,First Run Features,,Available,Documentary films;Bufo marinus;Toads;Animal introduction;Australia;Human-animal relationships,Cane toads : an unnatural history,
Q 162 .A59 2007,22188,"Angier, Natalie","Angier, Natalie",22188,Monograph,Learning Commons,Gen-nonc,,,,,293 p. ; 24 cm.,,text,Learning Commons,618242953,9.78E+12,618242953,Q 162 .A59 2007,2006026871,Boston,2007,2007,Houghton Mifflin,,Non-Circulating,Science - Popular works;Science - Essays;Science literacy,The canon : a whirligig tour of the beautiful basics of science,
Q 162 .A59 2007,8957,"Angier, Natalie","Angier, Natalie",19920,Monograph,Learning Commons,General,,,,,293 p. ; 24 cm.,,text,,618242953,9.78E+12,618242953,Q 162 .A59 2007,2006026871,Boston,2007,2007,Houghton Mifflin,,Available,Science - Popular works;Science - Essays;Science literacy,The canon : a whirligig tour of the beautiful basics of science,
QA 139 .T37 1986,4054,"Weber, K. J","Weber, K. J;Tappay, Robert",3158,Monograph,Learning Commons,Activity,,,,,159 p. : ill. ; 28 cm.,,text,,0822444275 (pbk.),9.78E+12,822444275,QA 139 .T37 1986,92011529,"Belmont, Calif.","1986, c1985",1986,Fearon Teacher Aids,Fearon education practical arithmetic series; ,Available,"Mathematics - Problems, exercises, etc;Mathematics",Career math makes sense,
P 91 .G626 1993,541,"Gonick, Larry","Gonick, Larry",1710,Monograph,Learning Commons,General,,,,,186 p. : ill. ; 24 cm.,1st Harper Perennial ed.,text,,006273217X (pbk.) :,9.78E+12,006273217X,P 91 .G626 1993,92054433,"New York, NY",c1993,1993,HarperCollins,Cartoon guide series; ,Available,Caricatures and cartoons;Communication - Caricatures and cartoons,The cartoon guide to (non)communication : the use and misuse of information in the modern world,Neo-Babelonia
QD 37 .G625 2005,21001,"Criddle, Craig","Criddle, Craig;Gonick, Larry",21001,Monograph,Learning Commons,Gen-nonc,,,,,249 p. : ill. ; 24 cm.,1st ed.,text,Learning Commons,60936770,9.78E+12,60936770,QD 37 .G625 2005,2003056749,New York,c2005,2005,HarperCollins,,Missing,Chemistry - Caricatures and cartoons;Chemistry - Popular Works;Chemistry - Humor,The cartoon guide to chemistry,
